CatId,CatName
38082,保健養生
38083,時尚美體
116112,兒童有聲書
19421,幼兒認知學習
19405,兒童知識百科
19407,兒童歷史故事
19396,兒童生活學習
19422,兒童圖畫繪本
19398,兒童故事讀本
61411,英文繪本
43023,兒童文學
19415,少年文學
11622,韓劇
11625,陸劇
11624,台劇
11621,日劇
32210,劇情電影DVD
32222,動作 / 冒險電影DVD
32213,限制級電影DVD
32211,喜劇電影DVD
